,CWD_Status,Case_ID,Province,Sex,Species,Year
0,Positive,100,Saskatchewan,Male,Mule Deer,2000
1,Positive,101,Saskatchewan,Male,Mule Deer,2001
2,Positive,102,Saskatchewan,Male,Mule Deer,2002
3,Positive,103,Saskatchewan,Female,Mule Deer,2003
4,Positive,104,Saskatchewan,Male,Mule Deer,2004
5,Positive,105,Saskatchewan,Male,Mule Deer,2004
6,Positive,106,Saskatchewan,Female,Mule Deer,2004
7,Positive,107,Saskatchewan,Female,White-tailed Deer,2004
8,Positive,108,Saskatchewan,Male,Mule Deer,2005
9,Positive,109,Saskatchewan,Female,Mule Deer,2005
10,Positive,110,Saskatchewan,Male,Mule Deer,2006
11,Positive,111,Saskatchewan,Male,Mule Deer,2006
12,Positive,112,Saskatchewan,Female,Mule Deer,2006
13,Positive,113,Saskatchewan,Male,Mule Deer,2006
14,Positive,15,Alberta,Female,Mule Deer,2006
15,Positive,16,Alberta,Female,Mule Deer,2006
16,Positive,17,Alberta,Male,Mule Deer,2006
17,Positive,21,Alberta,Female,Mule Deer,2007
18,Positive,22,Alberta,Female,Mule Deer,2007
19,Positive,23,Alberta,Female,Mule Deer,2007
20,Positive,24,Alberta,Female,Mule Deer,2007
21,Positive,25,Alberta,Female,Mule Deer,2007
22,Positive,26,Alberta,Female,Mule Deer,2007
23,Positive,27,Alberta,Male,White-tailed Deer,2007
24,Positive,28,Alberta,Male,Mule Deer,2007
25,Positive,29,Alberta,Male,Mule Deer,2007
26,Positive,114,Saskatchewan,Female,Mule Deer,2007
27,Positive,115,Saskatchewan,Female,Mule Deer,2007
28,Positive,116,Saskatchewan,Female,Mule Deer,2007
29,Positive,117,Saskatchewan,Male,Mule Deer,2007
30,Positive,118,Saskatchewan,Female,Mule Deer,2007
31,Positive,119,Saskatchewan,Female,White-tailed Deer,2007
32,Positive,120,Saskatchewan,Female,White-tailed Deer,2007
33,Positive,121,Saskatchewan,Female,Mule Deer,2007
34,Positive,30,Alberta,Female,Mule Deer,2007
35,Positive,32,Alberta,Male,Mule Deer,2007
36,Positive,34,Alberta,Male,Mule Deer,2007
37,Positive,36,Alberta,Male,White-tailed Deer,2007
38,Positive,45,Alberta,Male,Mule Deer,2008
39,Positive,48,Alberta,Male,Mule Deer,2008
40,Positive,49,Alberta,Female,White-tailed Deer,2008
41,Positive,50,Alberta,Female,Mule Deer,2008
42,Positive,51,Alberta,Female,Mule Deer,2008
43,Positive,52,Alberta,Female,White-tailed Deer,2008
44,Positive,53,Alberta,Male,Mule Deer,2008
45,Positive,122,Saskatchewan,Female,Mule Deer,2008
46,Positive,123,Saskatchewan,Female,Mule Deer,2008
47,Positive,124,Saskatchewan,Female,Mule Deer,2008
48,Positive,125,Saskatchewan,Male,Mule Deer,2008
49,Positive,126,Saskatchewan,Male,Mule Deer,2008
50,Positive,127,Saskatchewan,Male,Mule Deer,2008
51,Positive,128,Saskatchewan,Female,Mule Deer,2008
52,Positive,129,Saskatchewan,Male,Mule Deer,2008
53,Positive,130,Saskatchewan,Female,Mule Deer,2008
